symbol,industry,sector,longBusinessSummary,fullTimeEmployees,auditRisk,boardRisk,compensationRisk,shareHolderRightsRisk,overallRisk,dividendRate,dividendYield,payoutRatio,fiveYearAvgDividendYield,enterpriseValue,fiftyTwoWeekLow,fiftyTwoWeekHigh,fiftyDayAverage,lastDividendValue,lastDividendDate,totalDebt,freeCashflow,operatingCashflow,earningsGrowth,revenueGrowth,grossMargins
COV.PA,REIT - Diversified,Real Estate,"Thanks to its partnering history, its real estate expertise and its European culture, Covivio is inventing today's user experience and designing tomorrow's city. A preferred real estate player at the European level, Covivio is close to its end users, capturing their aspirations, combining work, travel, living, and co-inventing vibrant spaces. A benchmark in the European real estate market with 23.0 bn in assets, Covivio offers support to companies, hotel brands and territories in their pursuit for attractiveness, transformation and responsible performance. Build sustainable relationships and well-being, is the Covivio's Purpose who expresses its role as a responsible real estate operator to all its stakeholders: customers, shareholders and financial partners, internal teams, local authorities but also to future generations and the planet. Furthermore, its living, dynamic approach opens up exciting project and career prospects for its teams. Covivio's shares are listed in the Euronext Paris A compartment (FR0000064578 - COV), are admitted to trading on the SRD, and are included in the composition of the MSCI, SBF 120, Euronext IEIF SIIC France and CAC Mid100 indices, in the EPRA and GPR 250 benchmark European real estate indices, and in the ESG FTSE4 Good, CAC SBT 1.5°C, DJSI World & Europe, Euronext Vigeo (World 120, Eurozone 120, Europe 120 and France 20), Euronext CDP Environment France EW, ISS ESG, Ethibel and Gaïa ethical indices and also holds the following awards and ratings: CDP (A), GRESB (88/100, 5-Star), ISS-ESG (B-) and MSCI (AAA).",960.0,4.0,6.0,2.0,3.0,4.0,3.3,0.0648,0.5708,6.81,19604893696.0,39.54,56.85,49.495,3.3,1713484800.0,11568999424.0,-317804864.0,1082141056.0,,0.085,0.80476
PEUG.PA,Asset Management,Financial Services,"Peugeot Invest Société anonyme operates as an investment company. The firm invests in private equity and real estate funds. The firm also invests in governance, social, and environmental protection. The company was formerly known as FFP Société anonyme and changed its name to Peugeot Invest Société anonyme. Peugeot Invest Société anonyme was incorporated in 1929 and is headquartered in Paris, France.",,8.0,6.0,2.0,8.0,5.0,3.25,0.044499997,0.72059995,2.85,3163362560.0,67.1,119.6,71.764,3.25,1716940800.0,705825984.0,252119008.0,470396000.0,-0.095,-0.137,1.0
GRVO.PA,Agricultural Inputs,Basic Materials,"Graines Voltz S.A. distributes vegetable and flower seeds in France and Europe. It also offers vegetables, herbs, and edible flowers. It serves professionals, horticulturists, nurserymen, landscapers, and private and public communities. The company was incorporated in 1985 and is headquartered in Colmar, France.",671.0,10.0,9.0,8.0,9.0,10.0,,,,4.62,104270048.0,17.45,30.6,20.249,2.0,1648512000.0,81381000.0,-2447625.0,9930000.0,0.376,-0.009,0.5294
LACR.PA,Scientific & Technical Instruments,Technology,"LACROIX Group SA engages in the development, industrialization, production, and integration of electronic assemblies and subassemblies for the automotive, aeronautics, home automation, industrial, and healthcare sectors. It operates through LACROIX Electronics, LACROIX Environment, LACROIX City segments. The company offers connected equipment for managing and coordinating road infrastructures in the areas of street lighting, traffic management, road signs, and V2X; and water and energy facilities, such as smart grids and heating networks. It operates in France, Germany, the United States, Poland, and Tunisia. The company was founded in 1936 and is based in Saint-Herblain, France. LACROIX Group SA operates as a subsidiary of Vinila Investissements.",3939.0,,,,,,0.7,0.0769,0.8791,2.63,184600240.0,8.46,28.2,9.2828,0.7,1720742400.0,165872000.0,55758876.0,30260000.0,,-0.07,0.30796
GLO.PA,Specialty Business Services,Industrials,"GL Events SA provides venues and offices for events. It operates through three divisions: GL Events Live, GL Events Exhibitions, and GL Events Venues. The GL Events Live division offers various business line specializations and services, including turnkey solutions, designing, consulting, and staging the events for corporate, institutional, and sports events. The GL Events Exhibitions division manages and coordinates a portfolio of trade shows and consumer fairs in various sectors, such as food, culture, textile, etc. The GL Events Venues division manages a network of venues that include convention centers, exhibition centers, concert halls, and multi-purpose facilities. The company was formerly known as Générale Location and changed its name to GL Events SA in 2003. The company was founded in 1978 and is headquartered in Lyon, France. GL Events SA is a subsidiary of Polygone SA.",4668.0,6.0,9.0,9.0,7.0,10.0,0.7,0.0372,0.30879998,3.29,1773425920.0,15.08,23.55,17.9368,0.7,1719878400.0,1618424064.0,92494752.0,230479008.0,0.267,0.194,0.93693
GUI.PA,Computer Hardware,Technology,"Guillemot Corporation S.A. engages in the design, manufacture, and sale of interactive entertainment hardware and accessories in France, Germany, the United Kingdom, Spain, the United States, the Netherlands, Canada, Italy, China, Belgium, and Romania. It offers digital hardware, audio equipment, and peripherals under the Hercules brand name; PC and console gaming accessories under the Thrustmaster brand name; and DJ solutions for various connected devices under the DJUCED brand name. The company was founded in 1984 and is based in Carentoir, France.",272.0,,,,,,,,,,58822664.0,4.405,8.04,7.08,0.25,1686096000.0,8828000.0,7835625.0,18370000.0,,0.164,0.53231996
PIG.PA,Farm & Heavy Construction Machinery,Industrials,"Haulotte Group SA, through its subsidiaries, designs, manufactures, and markets people and material lifting equipment. Its products include people lifting equipment comprising push-arounds, vertical masts, scissor lifts, articulating and telescopic booms, trailer mounted booms, and self-propelled booms. The company offers spare parts; provides training, repair, and financing services; and rents lifting equipment. It markets and sells its products in Europe, the Asia Pacific, North America, and Latin America. The company provides solutions for civil and military applications; rental companies; and logistics, manufacturing, airport operations, maintenance, and retail sectors. Haulotte Group SA was founded in 1881 and is based in Lorette, France. The company is a subsidiary of Solem S.A.",1900.0,9.0,9.0,8.0,8.0,10.0,,,,2.83,328665440.0,2.07,3.23,2.7048,0.22,1657756800.0,298231008.0,44156624.0,78455000.0,,-0.091,0.22459
ATE.PA,Information Technology Services,Technology,"Alten S.A. operates as an engineering and technology consultancy company in France, North America, Germany, Scandinavia, Benelux, Iberian, Spain, Italy, the United Kingdom, the Asia-Pacific, Switzerland, Eastern Europe, and internationally. The company undertakes design and research projects for the technical and information systems divisions in the industrial and telecommunication sectors. It also offers engineering, and research and development outsourcing services, such as digital transformation; product design and development; manufacturing engineering; supply chain and quality; customer service and training; and project and change management consulting services. In addition, the company provides IT services comprising consulting and digital transformation; technical services for digital, big data, data science, and artificial intelligence; development, maintenance, and testing of applications; and cloud, and networks and security infrastructure services. It serves customers in aeronautics, space, defense and naval, security, automotive, rail, energy and environment, life sciences, banking, finance and insurance, telecoms and media, retail and consumer services, and public sectors and government services. Alten S.A. was founded in 1988 and is headquartered in Boulogne-Billancourt, France.",58300.0,3.0,5.0,10.0,6.0,7.0,1.5,0.0172,0.2165,1.39,3091192832.0,74.4,146.9,79.727,1.5,1719187200.0,362745984.0,174606000.0,362616000.0,0.06,0.029,0.19236
VAC.PA,Lodging,Consumer Cyclical,"Pierre et Vacances SA, through its subsidiaries, engages in the holiday accommodation and holiday property investment business in Europe and internationally. It operates through two segments, Property Development and Tourism. The Property Development engages in the land prospection, site design, construction, and marketing of holiday residences for individual buyers or institutional buyers. The Tourism segment operates residences and villages marketed under the Pierre & Vacances, Center Parcs, Sunparks, Villages, Nature Paris, Maeva.com, and Adagio brands. The company was founded in 1967 and is headquartered in Paris, France. Pierre et Vacances SA is a subsidiary of Société d'Investissement Touristique et Immobilier.",12600.0,8.0,2.0,9.0,6.0,5.0,,,,4.03,3941931264.0,1.142,1.68,1.46564,0.180869,1332115200.0,3654248960.0,234333248.0,275672992.0,,0.05,0.31522
SAF.PA,Aerospace & Defense,Industrials,"Safran SA, together with its subsidiaries, engages in the aerospace and defense businesses worldwide. The company operates through three segments: Aerospace Propulsion; Aircraft Equipment, Defense and Aerosystems; and Aircraft Interiors. The Aerospace Propulsion segment designs, develops, produces, and markets propulsion and mechanical power transmission systems for commercial aircraft, military transport, training and combat aircraft, civil and military helicopters, satellites, and drones; and offers maintenance, repair, and overhaul (MRO) services, as well as sells spare parts. The Aircraft Equipment, Defense and Aerosystems segment provides landing gears and brakes; nacelles and reversers; avionics, such as flight controls and onboard information systems; security systems, including evacuation slides and oxygen masks; onboard computers and fuel systems; electrical power management systems and related engineering services; and optronic equipment and sights, navigation equipment and sensors, infantry, and drones, as well as offers MRO services and sells spare parts. The Aircraft Interiors segment designs, develops, manufactures, and markets aircraft seats for passengers and crew; cabin equipment, overhead bins, class dividers, passenger service units, cabin interior solutions, chilling systems, galleys, electrical inserts, and trolleys and cargo equipment; and cabin and passenger solutions, such as water distribution equipment, lavatories, air systems, and in-flight entertainment and connectivity systems. Its products and services are used in civil and military aircraft, and helicopters. Safran SA was founded in 1896 and is based in Paris, France.",87055.0,5.0,4.0,2.0,10.0,4.0,2.2,0.0091,0.56270003,1.73,101121376256.0,171.78,242.8,220.67,2.2,1716854400.0,5098999808.0,4124474880.0,4426999808.0,-0.969,0.186,0.48595002
IPS.PA,Consulting Services,Industrials,"Ipsos SA, through its subsidiaries, provides survey-based research services for companies and institutions in Europe, the Middle East, Africa, the Americas, and the Asia-Pacific. The company offers services in the information production and analysis chain, including data collection, data processing and integration, data analysis, information delivery and presentation, and information activation. It also provides audience measurement, automotive and mobility development, brand health tracking, channel performance, corporate reputation, creative excellence, customer experience, healthcare, innovation, Ipsos MMA, Ipsos UU, market strategy and understanding, observer, public affairs, social intelligence analytics, and other specialist services, as well as research methodologies, such as device agnosticism, programmatic sampling, and digital face-to-face interview. In addition, the company offers online and mobile integrated services and device agnostic solutions that include online surveys adapted to laptops, smartphones, and tablets; and qualitative research services, as well as operates Ipsos.Digital, a do-it-yourself platform. Further, it provides artificial intelligence and data science solutions that develops and provides analytical tools based on data science, machine learning, big analytics, and modelling; and behavioral science and neuroscience solutions, as well as operates Ipsos Knowledge Centre for teams and clients. Ipsos SA was incorporated in 1975 and is headquartered in Paris, France.",20000.0,6.0,4.0,6.0,6.0,5.0,1.65,0.0363,0.4005,2.44,2194582016.0,41.56,68.2,45.2056,1.65,1719792000.0,503711008.0,301008128.0,345001984.0,0.426,0.047,0.67867
BIG.PA,Consumer Electronics,Technology,"BigBen Interactive designs, produces, and distributes accessories for video game consoles, and smartphones and tablets in France and internationally. It offers audio products; technical support services; accessories, such as controllers, headsets, keyboards, mice, microphones, memory cards, protections, bags, etc. The company also develops, publishes, and distributes video games; and provides technical support services. BigBen Interactive was incorporated in 1981 and is headquartered in Lesquin, France.",1340.0,9.0,10.0,9.0,9.0,10.0,,,,,301337216.0,1.158,3.4,1.40588,0.3,1658880000.0,210067008.0,-10744625.0,79726000.0,2.208,0.131,0.47895
,,,,,,,,,,,,,,,,,,,,,,,,,
ASY.PA,Engineering & Construction,Industrials,"Assystem S.A. provides engineering and infrastructure project management services in France, Rest of Europe, Asia, the Middle East, and Africa. The company offers engineering services for the preparation, design, and construction of critical and complex infrastructure projects for public authorities and utility companies. It also provides engineering, procurement, and construction management; project management consulting; field operation management; siting, licensing, and environmental; systems engineering and design; industrial control system; and compliance, risk monitoring, safety, and security services, as well as digital transformation consulting, integrating business information system, data as a source of value, and digital twin services for nuclear, hydrogen, renewable, grids, transportation, cities and territorial development, and defense and security infrastructure sectors. In addition, the company offers decommissioning and waste management services, and operation and maintenance services. The company was formerly known as AssystemBrime S.A. and changed its name to Assystem S.A. in June 2005. Assystem S.A. was founded in 1966 and is based in Courbevoie, France. Assystem S.A. is a subsidiary of HDL Development.",7500.0,7.0,9.0,9.0,8.0,9.0,8.0,0.2083,0.14729999,5.42,592245568.0,33.8,61.2,39.293,4.5,1720569600.0,96700000.0,107187504.0,47000000.0,-0.746,0.067,0.2913
PRC.PA,Internet Content & Information,Communication Services,"Artmarket.com provides art market information in France. It also operates as a marketplace to buy or sell artworks; and engages in sale of fine arts and NFT, and design auction services activities. The company was formerly known as Artprice.com and changed its name to Artmarket.com. Artmarket.com was incorporated in 1997 and is based in Saint-Romain-au-Mont-d'Or, France.",50.0,,,,,,,,,,24527302.0,3.46,5.85,3.9974,,,1122000.0,472000.0,986000.0,0.028,0.026,0.62341
ORAP.PA,Household & Personal Products,Consumer Defensive,"Orapi SA, together with its subsidiaries, designs, manufactures, and sells products and solutions for hygiene and industrial maintenance worldwide. The company's products consist of cleaners, such as degreasers, disinfectants, hygiene and decontamination products, wiping pads, soaps, etc.; and lubricants, include greases and oils; and glues and adhesives, such as cyanoacrylates, anaerobes, and neoprenes. It also offers various wadding products, which include toilet papers and hand towels; waste bags; personal protective equipment, such as gloves, masks, etc.; and sealing and protection products. The company operates under the Hexotol, Orapi Process, Orapi Hygiène, Proven, Orapi Technic, and Transnet brands. It serves customers in various sectors, such as industry, transport, leisure, health, local authorities, and cleaning market. The company was founded in 1968 and is based in Saint-Vulbas, France. As of March 8, 2024, Orapi SA operates as a subsidiary of GROUPE PAREDES.",916.0,,,,,,,,,2.82,110550096.0,5.56,7.0,6.4772,0.13,1430265600.0,78729000.0,10470750.0,16730000.0,,-0.023,0.47825
EOS.PA,Software - Application,Technology,"ACTEOS S.A. designs, develops, integrates, and provides software and related services in the field of supply chain management in France, Germany, and Lebanon. It offers Acteos suite, which include forecasting and procurement system for forecast and point of sales/e-business procurement optimization services; transportation management system to organize and manage transport activities; and warehouse management system, a modular solution to manage customers' warehouses. The company also provides mobility, software as a service, hotline, technical project management, and consulting services. ACTEOS S.A. was founded in 1986 and is headquartered in Roubaix, France.",80.0,,,,,,,,,,6985268.0,0.86,1.42,0.9853,,,3925189.0,-890827.0,-653615.0,0.487,-0.322,0.58432
DEC.PA,Advertising Agencies,Communication Services,"JCDecaux SE operates as an outdoor advertising company worldwide. It operates through three segments: Street Furniture, Transport, and Billboard. The Street Furniture segment provides advertising services in shopping malls; rents street furniture; and sells and rents equipment, such as automatic public toilets, bikes, etc., as well as provides cleaning, maintenance, and other services. The Transport segment provides advertising services in public transport systems, such as airports, metros, buses, trams, and trains. The Billboard segment is involved in advertising on private property, including traditional large format or back-light billboards; neon-light billboards; and advertising wall wraps. The company was founded in 1964 and is based in Neuilly-sur-Seine, France. JCDecaux SE is a subsidiary of JCDecaux Holding SAS.",11650.0,3.0,6.0,8.0,2.0,7.0,,,,1.98,6977702912.0,13.77,22.36,15.1308,0.58,1558396800.0,5191199744.0,837262528.0,1186899968.0,1.484,0.136,0.53486
AI.PA,Specialty Chemicals,Basic Materials,"L'Air Liquide S.A. provides gases, technologies, and services for the industrial and health sectors in Europe, the Americas, the Asia Pacific, the Middle East, and Africa. It operates in Gas & Services, Engineering & Construction, and Global Markets & Technologies segments. The Gas & Services segment comprises large industries business, which offers gas and energy solutions including oxygen, nitrogen, argon, hydrogen, and carbon monoxide, as well as operates cogeneration plants to supply steam and electricity to metals, chemicals, refining, and energy industries; and industrial merchant business line provides industrial gases, equipment, hardgoods, and associated services to materials and energy, automotive and manufacturing, food and pharmaceuticals, technology and research, and craftsmen and retail sectors. This segment also includes healthcare business, which provides medical gases, home healthcare services, medical equipment, and specialty ingredient to patients, healthcare professionals, and hospitals; and electronic business supply carrier gases, electronic specialty and advanced materials, equipment and installation, and service to semiconductor, flat panel, and photovoltaic markets. The Engineering & Construction segment designs, develops, and builds industrial gas production plants to third parties; and design and manufacture plants in traditional, renewable and alternative energy sectors. The Global Markets & Technologies segment delivers technological solutions, such as molecules, equipment, and services to energy transition and deep technology. This segment also invests in and operates biomethane production units; designs hydrogen refueling stations; and supplies gases for the offshore oil and gas platforms, offshore wind turbines, and cryogenic transportation by sea. L'Air Liquide S.A. was incorporated in 1902 and is headquartered in Paris, France.",66300.0,2.0,3.0,2.0,1.0,2.0,2.91,0.0174,0.5524,1.87,108811902976.0,151.90909,179.47273,159.7676,2.909091,1716163200.0,13271400448.0,2005750016.0,6147500032.0,-0.03,-0.043,0.61544
CA.PA,Grocery Stores,Consumer Defensive,"Carrefour SA engages in the operation of stores that offer food and non-food products in various formats and channels in France, Spain, Italy, Belgium, Poland, Romania, Brazil, and Argentina, as well as in the Middle East, Africa, and Asia. The company operates hypermarkets, supermarkets, convenience stores, club stores, and cash and carry stores; e-commerce sites; and service stations. It is also involved in banking, insurance, property development, and franchise activities; the provision of travel agency services; and the rental of shopping malls. The company was founded in 1959 and is based in Massy, France.",305309.0,5.0,6.0,8.0,6.0,7.0,0.87,0.063200004,0.7436,3.28,26851731456.0,13.045,16.92,13.7834,0.87,1716854400.0,20917000192.0,2204124928.0,4572000256.0,-0.969,-0.002,0.18280001
TTE.PA,Oil & Gas Integrated,Energy,"TotalEnergies SE, a multi-energy company, produces and markets oil and biofuels, natural gas, green gases, renewables, and electricity in France, rest of Europe, North America, Africa, and internationally. It operates through five segments: Exploration & Production, Integrated LNG, Integrated Power, Refining & Chemicals, and Marketing & Services. The Exploration & Production segment is involved in the exploration and production of oil and natural gas. The Integrated LNG segment comprises the integrated gas chain, including upstream and midstream liquified natural gas (LNG) activities, as well as biogas, hydrogen, and gas trading activities. The Integrated Power segment includes generation, storage, electricity trading, and B2B-B2C distribution of gas and electricity. The Refining & Chemicals segment consists of refining, petrochemicals, and specialty chemicals. This segment also includes oil supply, trading, and marine shipping activities. The Marketing & Services segment supplies and markets petroleum products. The company was formerly known as TOTAL SE and changed its name to TotalEnergies SE in June 2021. TotalEnergies SE was founded in 1924 and is headquartered in Courbevoie, France.",102579.0,4.0,4.0,1.0,7.0,3.0,3.16,0.0554,0.472,5.94,160861536256.0,50.8,70.11,54.5592,0.85,1750291200.0,60090998784.0,20368750592.0,34496999424.0,-0.648,-0.128,0.33842
OR.PA,Household & Personal Products,Consumer Defensive,"L'Oréal S.A., through its subsidiaries, manufactures and sells cosmetic products for women and men worldwide. The company operates through four divisions: Consumer Products, L'oréal Luxe, Professional Products, and Dermatological Beauty. It offers skincare, make-up, hair colourants, haircare, perfumes, and hygiene products. The company provides its products under the L'Oréal Paris, Garnier, Maybelline New York, NYX Professional Makeup, Stylenanda, Essie, Dark & Lovely, Mixa, Magic Mask, Niley, Lancôme, Yves Saint Laurent, Armani, Kiehl's Since 1851, Helena Rubinstein, Biotherm, Shu Uemura, IT Cosmetics, Ralph Lauren Fragrance, Urban Decay, Mugler, Valentino, Viktor&Rolf, Azzaro, Prada, Cacharel, Maison Margela Fragrance, Diesel, Yue Sai, Atelier Colonge, Carita, Takami, Aesop, L'Oréal Professionnel Paris, Kérastase, Redken, Matrix, Pureology, Pulp Riot, La Roche-Posay, Vichy, CeraVe, SkinCeuticals, and Skinbetter Science brands. It sells its products through distribution channels, such as hair salons, local stores, e-commerce, travel retail, mass market retail, department store perfumeries, pharmacies, drug stores, medi-spas, and free-standing stores. L'Oréal S.A. was founded in 1909 and is headquartered in Clichy, France.",90000.0,3.0,6.0,6.0,1.0,6.0,6.6,0.0191,0.5459,1.71,191264325632.0,316.3,461.85,341.656,6.6,1714089600.0,9188100096.0,4687625216.0,7551099904.0,0.091,0.075,0.74153
AC.PA,Lodging,Consumer Cyclical,"Accor SA operates a chain of hotels worldwide. It operates through three segments: Management & Franchise; Services to Owners; and Hotel Assets & Others. The company owns, operates, manages, and franchises hotels. It also provides digital services to independent hotel operators through D-edge platform; Gekko solutions for leisure and travel industry and large companies; and concierge and customized services through John Paul, as well as hotel booking services; and other services in events, fine dining, and entertainment through Paris Society and Potel & Chabot platforms. In addition, the company offers distribution activities, such as private sales of hotel accommodation and luxury vacations through VeryChic platform; rental of private residences operated by onefinestay; and coworking spaces through Wojo and Mama Works. Further, it provides hotel management, procurement, cash management, IT, and advertising services, as well as various advisory services. Accor SA was founded in 1967 and is headquartered in Issy-les-Moulineaux, France.",19198.0,9.0,4.0,9.0,7.0,6.0,1.18,0.0239,0.5221,2.18,15491266560.0,31.73,49.97,46.9342,1.18,1717545600.0,3862000128.0,545875008.0,735000000.0,0.099,0.114,0.20858999
EN.PA,Engineering & Construction,Industrials,"Bouygues SA, together with its subsidiaries, operates in the construction, energy, telecom, media, and transport infrastructure sectors in France and internationally. The company designs, builds, renovates, operates, and deconstructs building, infrastructure, and industrial projects; develops urban planning, residential, and commercial projects; builds and maintains roads and motorways, airport runways, ports, industrial logistics hubs, external works and amenities, reserved-lane public transport, recreational facilities, and environmental projects, as well as undertakes civil engineering, road safety, and signaling activities; produces, distributes, sells, and recycles aggregates, emulsions, asphalt mixes, ready-mix concrete, and bitumen; construction, renewal, and maintenance of rail networks; and installation and maintenance of pipes and pipelines. It also provides design, installation, and maintenance services in various fields that include cooling and fire protection, digital and ICT, electrical, and mechanical and robotics, as well as heating, ventilation, and air conditioning. In addition, the company produces TF1, TMC, TFX, TF1, and LCI complementary TV channels; operates Ushuaïa TV, Histoire TV, TV Breizh, and Serieclub channels; produces, broadcasts, and distributes content; operates la seine musical entertainment and concert venue; and entertainment and leisure comprising licenses, podcasts, music production, and live events. Further, it offers telecom services; and mobile and fixed network services. The company was founded in 1952 and is based in Paris, France.",201500.0,8.0,7.0,7.0,10.0,7.0,1.9,0.0614,0.7143,4.78,24849842176.0,27.47,38.26,29.1082,1.9,1714435200.0,14917000192.0,2838374912.0,5725000192.0,0.137,0.015,0.54912996
QDT.PA,Software - Application,Technology,"Quadient S.A. provides intelligent communication automation, mail-related, and parcel locker solutions for customers through digital and physical channels in North America, France, Benelux, the United Kingdom, Ireland and Germany, Austria, Italy, Switzerland, and internationally. It provides Quadient Inspire, a software solution that facilitates the creation and management of transactional and marketing communication documents, as well as manages omnichannel delivery for the communications; Quadient Impress, a cloud based software that facilitates outbound document automation; YayPay, account receivable process automation solutions; and Beanworks, an accounts payable automation software solution. The company offers Quadient Inspire Flex, which enables organizations to create and deliver personalized, compliant customer communications across various channels from one centralized platform; and Quadient Inspire Journey, a cloud-based journey mapping solution that integrates customer journey mapping, data, and communications technologies. In addition, it supplies software, equipment, and services for managing incoming and outgoing mails; and provides hardware and software platform that facilitates invoicing and customer communications, multi channel mail processing, last mile parcel delivery, and the consolidation of their return. Further, the company operates a pick-up, drop-off solution that offers businesses and people who need to manage their deliveries and returns. It serves financial services, healthcare, higher education, insurance, and retail industries, as well as service providers industries. The company was formerly known as Neopost S.A. and changed its name to Quadient S.A. in September 2019. Quadient S.A. was founded in 1924 and is headquartered in Bagneux, France.",4700.0,2.0,2.0,3.0,1.0,1.0,0.65,0.0365,0.3116,3.03,1344812544.0,15.54,23.1,17.9568,0.65,1722816000.0,920300032.0,144750000.0,178500000.0,-0.322,0.032,0.74170995
SAN.PA,Drug Manufacturers - General,Healthcare,"Sanofi, a healthcare company, engages in the research, development, manufacture, and marketing of therapeutic solutions in the United States, Europe, Canada, and internationally. It operates through Pharmaceuticals, Vaccines, and Consumer Healthcare segments. The company provides specialty care, such as DUPIXENT, neurology and immunology, rare diseases, oncology, and rare blood disorders; medicines for diabetes and cardiovascular diseases; and established prescription products. In addition, it offers poliomyelitis, pertussis, and hib pediatric vaccines; influenza, booster, meningitis, and travel and endemic vaccines, which includes hepatitis A, typhoid, cholera, yellow fever, and rabies vaccines. The company also provides cough, cold, and flu, allergy, and pain care products, as well as physical, mental, and digestive wellness products; and offers products for itching, hydration, aging, cracking, overnight, and specialty skincare needs like eczema. Further, it has a collaboration and license agreement with Exscientia to develop up to 15 novel small-molecule for oncology and immunology; ABL Bio, Inc. to develop ABL301, a treatment for alpha-synucleinopathies; Blackstone Life Sciences to develop pivotal studies and clinical development program; and Seagen Inc. to design, develop, and commercialize antibody-drug conjugates for cancer. Additionally, the company has a collaboration agreement with IGM Biosciences, Inc. to develop, manufacture, and commercialize IgM antibody; Skyhawk Therapeutics, Inc to discover and develop novel small molecules; and Adagene Inc., for the discovery and development of antibody-based therapies. It also has collaborations with Scribe Therapeutics Inc. to develop genome editing technologies; and co-promotion service agreement with Provention Bio, Inc. for the commercialization of teplizumab. The company was formerly known as Sanofi-Aventis and changed its name to Sanofi in May 2011. Sanofi was incorporated in 1994 and is headquartered in Paris, France.",86088.0,2.0,2.0,2.0,6.0,2.0,3.76,0.0369,1.0474,3.74,144693198848.0,84.93,106.14,95.164,3.76,1715558400.0,23751000064.0,,,0.115,0.115,0.69114995
CS.PA,Insurance - Diversified,Financial Services,"AXA SA, through its subsidiaries, provides insurance, asset management, and banking services worldwide. The company operates through six segments: France; Europe; AXA XL; Asia, Africa & EME-LATAM; AXA Investment Managers; and Transversal & Other segments It offers life and savings insurance products, such as savings and retirement, other health, and personal protection products. The company also provides property and casualty insurance products, including car, home, and personal or professional liability to individual and business clients; international insurance for large corporate clients in Europe; and marine and aviation insurance services, as well as property and casualty reinsurance products. In addition, it offers asset management services in the areas of various asset classes, including equities, bonds, hedge funds, private equity, and real estate for the group's insurance companies and their clients, and retail and institutional clients. Further, the company provides motor, household, property and general liability, health, term life, whole life, universal life, endowment, deferred and immediate annuities, and other investment-based products for personal/individual and commercial/ group customers. AXA SA was founded in 1852 and is headquartered in Paris, France.",94705.0,5.0,2.0,1.0,6.0,1.0,1.98,0.053600002,0.613,5.3,78756093952.0,29.04,37.38,34.4418,1.98,1714435200.0,60778000384.0,-2974374912.0,8659999744.0,0.06,0.081,0.15099
BN.PA,Packaged Foods,Consumer Defensive,"Danone S.A. operates in the food and beverage industry in Europe, Ukraine, North America, China, North Asia, the Oceania, Latin America, rest of Asia, Africa, Turkey, the Middle East, and the Commonwealth of Independent States. The company operates through Essential Dairy & Plant-Based, Specialized Nutrition, and Waters segments. It produces and distributes yogurts, dairy products, coffee creamers and drinks, beverages, plant-based products, ice creams, frozen desserts, and cheese products under the Actimel, Activia, Alpro, Aptamil, Danette, Danio, Danonino, evian, Nutricia, Nutrilon, Volvic, Danone, Light & Fit, Oikos, YoPRO, International Delight, SToK, Silk, Follow Your Heart, and So Delicious. The company also provides specialized nutrition, including formulas and complementary feeding for babies and young children; and special medical purposes food for children and adults under the Aptamil, Nutrilon, Gallia, Cow & Gate, Bebelac, and Blédina brands. In addition, it offers tube feeding products under the Nutrison name; and oral nutritional supplements under the Fortimel and NutriDrink names. Further, the company provides mineral waters from natural sources, waters infused with natural fruit extracts, fruit juices, and vitamins under the evian, Volvic, AQUA, Mizone, Bonafont, Salus, Hayat, Sirma, Font Vella, Lanjarón, and Zywiec Zdroj brands. It distributes its products through retail chains and traditional market outlets; convenience stores; hotels, restaurants, and coffee outlets; hospitals, clinics, and pharmacies; and e-commerce channels. The company was formerly known as Groupe Danone and changed its name to Danone S.A. in April 2009. Danone S.A. was incorporated in 1899 and is headquartered in Paris, France.",88843.0,5.0,1.0,2.0,7.0,2.0,2.1,0.032,1.3548,2.63,52384276480.0,56.14,67.96,65.0204,2.1,1714694400.0,16318999552.0,2850500096.0,3521999872.0,0.113,-0.029,0.48439997
ES.PA,Oil & Gas Refining & Marketing,Energy,"Esso S.A.F. refines, distributes, and markets oil products in France and internationally. It offers gas, gasoline, kerosene, diesel, and heavy fuel oil; and base oils, finished lubricants, white oils, paraffins, and bitumens. The company also provides gasoline, diesel, domestic fuel, marine fuel, and jet fuel. In addition, it operates a network of service stations under the Esso and Esso Express brands. The company offers its products under the Esso and Mobil brand name. It markets its products through a network of distributors and resellers. The company was founded in 1902 and is headquartered in Nanterre, France. Esso S.A.F. operates as a subsidiary of ExxonMobil France Holding S.A.S.",1579.0,9.0,10.0,4.0,2.0,9.0,3.0,0.026099999,0.048800003,6.6,376505568.0,55.0,205.0,109.142,3.0,1720396800.0,36400000.0,727124992.0,899299968.0,-0.563,-0.033,0.05957
